desc,seed_id,country,ISO3C,iter_sampling,burn_in,smax_p,n_chains,type_ind,time_aggregation,program_file_name
nospatialSE_icar_mleprior,2906,Sri Lanka,LKA,1000,9000,52,3,3,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2907,Sri Lanka,LKA,1000,9000,52,3,4,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2908,Sri Lanka,LKA,1000,9000,52,3,5,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2909,Sri Lanka,LKA,1000,9000,52,3,6,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2910,Nepal,NPL,1000,9000,52,3,1,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2911,Nepal,NPL,1000,9000,52,3,2,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2912,Nepal,NPL,1000,9000,52,3,3,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2913,Nepal,NPL,1000,9000,52,3,4,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2914,Nepal,NPL,1000,9000,52,3,5,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2915,Nepal,NPL,1000,9000,52,3,6,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2916,Pakistan,PAK,1000,9000,52,3,1,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2917,Pakistan,PAK,1000,9000,52,3,2,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2918,Pakistan,PAK,1000,9000,52,3,3,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2919,Pakistan,PAK,1000,9000,52,3,4,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2920,Pakistan,PAK,1000,9000,52,3,5,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
nospatialSE_icar_mleprior,2921,Pakistan,PAK,1000,9000,52,3,6,weeks,prelim-analysis/program_adm_only_icar_nospatialSE_cmdstanr_zeroinf_mleprior.stan
